PLAYER NAME,AVERAGE SG:OTT,AVERAGE SG:PUTTING,GREENS %,GIR% - AVG%,TOTAL SG:PUTTING,TOTAL SG:OTT,PREDICTIVE SCORE
Dylan Frittelli,0.015,-0.07,66.08,-0.6698047393364988,-0.28,0.06,-0.9348047393364988
D.J. Trahan,-0.027000000000000003,-0.457,68.2,0.856595260663509,-1.828,-0.10800000000000001,-0.9984047393364911
Chez Reavie,-0.132,-0.273,67.28,0.19419526066351,-1.092,-0.528,-1.0298047393364902
Hudson Swafford,-0.23,0.146,65.05,-1.411404739336497,0.584,-0.92,-1.0574047393364971
Brian Stuard,-0.242,0.106,65.26,-1.2602047393364897,0.424,-0.968,-1.0782047393364897
Scott Harrington,0.267,0.102,64.5,-1.8074047393364934,0.408,1.068,-1.1324047393364935
Brian Gay,-0.364,0.179,64.94,-1.4906047393364963,0.716,-1.456,-1.1386047393364964
Jonathan Byrd,-0.18,-0.29100000000000004,67.28,0.19419526066351,-1.1640000000000001,-0.72,-1.14980473933649
Rory Sabbatini,0.019,-0.054000000000000006,65.63,-0.993804739336495,-0.21600000000000003,0.076,-1.190804739336495
Vaughn Taylor,-0.043,0.294,63.75,-2.347404739336498,1.176,-0.172,-1.2144047393364978
Sergio Garcia,0.848,-0.754,68.31,0.9357952606635083,-3.016,3.392,-1.2322047393364919
Aaron Baddeley,-0.736,0.256,64.89,-1.5266047393364923,1.024,-2.944,-1.2386047393364923
J.J. Spaun,-0.057,-0.12300000000000001,66.0,-0.7274047393364924,-0.49200000000000005,-0.228,-1.2764047393364923
Danny Lee,0.20800000000000002,-0.233,66.12,-0.6410047393364939,-0.932,0.8320000000000001,-1.365004739336494
Ian Poulter,-0.212,0.5920000000000001,62.12,-3.5210047393364965,2.3680000000000003,-0.848,-1.3650047393364961
Roger Sloan,-0.198,-0.06,65.58,-1.029804739336499,-0.24,-0.792,-1.467804739336499
Si Woo Kim,-0.091,0.012,65.0,-1.447404739336493,0.048,-0.364,-1.490404739336493
Wes Roach,-0.175,-0.505,67.92,0.6549952606635072,-2.02,-0.7,-1.5400047393364928
Wyndham Clark,-0.406,0.545,62.38,-3.333804739336493,2.18,-1.624,-1.559804739336493
Andrew Landry,0.287,-0.23199999999999998,65.66,-0.9722047393364974,-0.9279999999999999,1.148,-1.6132047393364974
Dominic Bozzelli,-0.8390000000000001,0.5,62.96,-2.916204739336491,2.0,-3.3560000000000003,-1.7552047393364911
Chris Stroud,-0.39,0.057999999999999996,64.61,-1.728204739336494,0.23199999999999998,-1.56,-1.886204739336494
Jim Herman,0.255,-0.135,64.71,-1.656204739336502,-0.54,1.02,-1.9412047393365022
Sebastian Cappelen,-0.293,0.055,64.36,-1.9082047393364983,0.22,-1.172,-1.9812047393364982
Zac Blair,-0.395,0.253,63.37,-2.6210047393364997,1.012,-1.58,-2.0040047393364997
Kyoung-Hoon Lee,0.062,-0.221,65.36,-1.1882047393364976,-0.884,0.248,-2.0102047393364977
Hank Lebioda,-0.062,-0.615,67.68,0.48219526066351026,-2.46,-0.248,-2.0398047393364895
Jason Dufner,0.047,-0.6809999999999999,67.83,0.5901952606635064,-2.7239999999999998,0.188,-2.0868047393364932
Rafa Cabrera Bello,-0.096,0.067,63.84,-2.282604739336489,0.268,-0.384,-2.1106047393364893
Matt Wallace,0.158,0.027000000000000003,63.64,-2.426604739336497,0.10800000000000001,0.632,-2.160604739336497
Robert Streb,-0.11699999999999999,-0.573,67.33,0.23019526066350604,-2.292,-0.46799999999999997,-2.1788047393364938
Byeong Hun An,-0.003,-0.503,66.75,-0.18740473933649593,-2.012,-0.012,-2.202404739336496
Ricky Barnes,-0.8640000000000001,0.474,62.5,-3.2474047393364947,1.896,-3.4560000000000004,-2.2154047393364946
Joel Dahmen,0.405,-0.10300000000000001,63.93,-2.217804739336496,-0.41200000000000003,1.62,-2.224804739336496
Sung Kang,0.027000000000000003,-0.33299999999999996,65.73,-0.921804739336495,-1.3319999999999999,0.10800000000000001,-2.2268047393364947
Danny Willett,-0.004,0.239,62.5,-3.2474047393364947,0.956,-0.016,-2.2954047393364947
Peter Malnati,-0.461,0.33299999999999996,62.57,-3.197004739336492,1.3319999999999999,-1.844,-2.326004739336492
Marc Leishman,-0.027999999999999997,0.035,63.62,-2.4410047393364955,0.14,-0.11199999999999999,-2.3290047393364954
Phil Mickelson,0.035,-0.08900000000000001,64.06,-2.1242047393364905,-0.35600000000000004,0.14,-2.44520473933649
Scott Piercy,0.24600000000000002,-0.284,64.78,-1.6058047393364916,-1.136,0.9840000000000001,-2.4958047393364917
Kramer Hickok,0.195,-0.534,66.21,-0.5762047393365011,-2.136,0.78,-2.5172047393365014
Scott Brown,0.198,-0.19899999999999998,64.34,-1.9226047393364887,-0.7959999999999999,0.792,-2.5206047393364885
Alex Cejka,-0.262,-0.5820000000000001,67.08,0.050195260663501884,-2.3280000000000003,-1.048,-2.5398047393364984
Bill Haas,-0.133,-1.068,69.44,1.7493952606635066,-4.272,-0.532,-2.6556047393364937
